what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1274747991521
arch,sysinfo,,,"x86",1274747991521
ws,sysinfo,,,"win32",1274747991521
locale,sysinfo,,,"zh_CN",1274747991521
processors,sysinfo,,,"2",1274747991552
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1274747991552
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1274747991552
java.specification.name,sysinfo,,,"Java Platform API Specification",1274747991552
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1274747991552
java.specification.version,sysinfo,,,"1.6",1274747991552
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1274747991552
java.version,sysinfo,,,"1.6.0_20",1274747991552
java.vm.info,sysinfo,,,"mixed mode, sharing",1274747991552
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1274747991552
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1274747991552
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1274747991552
java.vm.specification.version,sysinfo,,,"1.0",1274747991552
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1274747991552
java.vm.version,sysinfo,,,"16.3-b01",1274747991552
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.0.v200906080500,"org.eclipse.jst.common.project.facet.core",1274747991833
started,bundle,com.instantiations.designer.rcp,7.4.0.r35x201005090420,"com.instantiations.designer.rcp",1274747992005
started,bundle,com.instantiations.designer.swt,7.4.0.r35x201005090412,"com.instantiations.designer.swt",1274747992021
started,bundle,com.instantiations.designer.gwt.SmartGWT,7.4.0.r35x201005090409,"com.instantiations.designer.gwt.SmartGWT",1274747992333
started,bundle,com.instantiations.designer.gwt.ExtGWT,7.4.0.r35x201005090409,"com.instantiations.designer.gwt.ExtGWT",1274747992333
started,bundle,com.instantiations.j2ee,7.4.0.r35x201005070802,"com.instantiations.j2ee",1274747992349
